Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-69.10931	-77.72014	8.610838	0.10332	0.198325	0.0360703	0.0584409	0.13939	0.0358811	0.6771	0.0858405	0.237059
10	-67.9552	-75.25813	7.30293	0.238825	0.0385479	0.0153937	0.120938	0.16805	0.0874711	0.581396	0.395587	0.0230176
20	-72.53448	-71.37529	-1.159187	0.245226	0.295049	0.429426	0.129439	0.0546185	0.148223	0.0307194	0.842086	0.127194
30	-70.16384	-71.1139	0.950055	0.0650049	0.437375	0.357046	0.0375204	0.113198	0.134119	0.616931	0.349175	0.0338946
40	-68.68966	-73.05802	4.368356	0.0504128	0.201775	0.322019	0.0235621	0.119509	0.171381	0.720264	0.252375	0.0273611
50	-68.60647	-74.9099	6.303431	0.081852	0.201165	0.152876	0.00727343	0.108132	0.192666	0.119616	0.0238618	0.856522
60	-69.40427	-75.21883	5.814563	0.0607315	0.313821	0.115356	0.0047844	0.116728	0.169099	0.345198	0.394721	0.260081
70	-68.8937	-74.54883	5.655133	0.0844774	0.0476013	0.441021	0.00357451	0.107035	0.108731	0.400578	0.0480727	0.551349
80	-66.48882	-77.45134	10.96252	0.0304025	0.0624338	0.173859	0.00395399	0.033657	0.091272	0.459105	0.00156938	0.539326
90	-68.02693	-73.96817	5.941247	0.0719927	0.114836	0.305697	0.00156493	0.0822886	0.194667	0.53251	0.0437935	0.423696
100	-66.06423	-75.4323	9.368065	0.148597	0.0900337	0.0609389	0.00600743	0.104285	0.104943	0.237282	0.0417784	0.720939
110	-67.27549	-75.585	8.309511	0.1353	0.124331	0.0138977	0.0522398	0.168285	0.0999041	0.243987	0.271212	0.484801
120	-67.75938	-79.09663	11.33725	0.0938177	0.0532159	0.00601457	0.0774317	0.0706829	0.0663958	0.352612	0.488692	0.158695
130	-67.80854	-77.17411	9.365566	0.196988	0.114082	0.0226512	0.0536805	0.0990828	0.0285077	0.563348	0.192786	0.243867
140	-72.34486	-72.91863	0.5737731	0.237171	0.231602	0.420847	0.0626318	0.14921	0.0709377	0.103005	0.877801	0.0191943
150	-69.7324	-71.52459	1.792187	0.108155	0.353706	0.334419	0.0467997	0.122064	0.116148	0.0233652	0.679536	0.297099
160	-69.43218	-73.55863	4.126446	0.0934164	0.123209	0.293309	0.0821254	0.1075	0.207189	0.000467527	0.276219	0.723313
170	-67.99358	-74.60326	6.609675	0.124509	0.0391379	0.202516	0.15527	0.0753482	0.124283	0.00809322	0.767683	0.224224
180	-68.61711	-77.35953	8.742423	0.0558637	0.0182374	0.182138	0.173234	0.0503614	0.0817524	0.215446	0.255067	0.529486
190	-70.2319	-73.6909	3.458995	0.0429938	0.20323	0.248317	0.237243	0.0553821	0.169491	0.549607	0.210855	0.239538
200	-68.64962	-74.99429	6.344674	0.0768907	0.12049	0.130616	0.160882	0.110926	0.141075	0.905581	0.0522741	0.0421451
210	-70.07019	-72.01279	1.942608	0.189393	0.337412	0.353982	0.029528	0.0340309	0.125699	0.446494	0.472938	0.0805678
220	-68.5696	-73.87662	5.307019	0.200062	0.0915703	0.0418065	0.245747	0.139929	0.0993556	0.762046	0.0715492	0.166405
230	-71.51825	-74.58478	3.066536	0.218198	0.379883	0.12308	0.123796	0.0971671	0.0438792	0.703719	0.164558	0.131722
240	-71.4947	-76.41826	4.923565	0.0873907	0.384025	0.0454624	0.0619882	0.200988	0.0672885	0.719623	0.273271	0.00710511
250	-67.18951	-73.97449	6.784981	0.179815	0.116625	0.0318098	0.151571	0.112761	0.115374	0.0635956	0.0670021	0.869402
260	-68.38037	-73.77619	5.395822	0.304684	0.0516837	0.171367	0.111118	0.0951526	0.0778245	0.275191	0.0816967	0.643112
270	-66.84948	-74.89675	8.047277	0.107705	0.127081	0.115809	0.05796	0.0967671	0.108246	0.24678	0.361472	0.391748
280	-68.28993	-73.72029	5.430358	0.089522	0.3412	0.17061	0.0452235	0.0689143	0.0937782	0.0442447	0.205621	0.750134
290	-68.33204	-76.15428	7.822244	0.263072	0.0740313	0.0824333	0.0405166	0.122873	0.0474679	0.176397	0.725268	0.0983346
300	-69.43947	-78.28462	8.84515	0.0155402	0.169314	0.0764146	0.0319008	0.130201	0.130535	0.385468	0.502231	0.112302
310	-67.74351	-75.64851	7.905	0.0243098	0.108617	0.199265	0.0324052	0.0794119	0.180196	0.0847934	0.551564	0.363642
320	-70.42349	-71.46114	1.03765	0.221658	0.179557	0.490269	0.0247736	0.0896321	0.131824	0.069455	0.0359067	0.894638
330	-66.32332	-73.17871	6.855392	0.0494192	0.137478	0.303897	0.00406998	0.092422	0.115404	0.413988	0.0335413	0.55247
340	-70.01039	-74.57053	4.560143	0.240298	0.042194	0.122565	0.212139	0.0799329	0.17719	0.166247	0.574955	0.258798
350	-70.15894	-73.22263	3.063685	0.355676	0.0555541	0.19421	0.157894	0.127757	0.0951248	0.207223	0.359625	0.433152
